Found 285 images belonging to 4 classes.
Found 98 images belonging to 4 classes.
training starts
0,396,1.20,0.38
0,398,1.12,0.50
0,400,1.43,0.31
TEST: 0,400,0.96,1.00
0,402,1.40,0.25
0,403,1.47,0.25
0,405,1.12,0.62
0,407,1.19,0.50
0,409,1.34,0.38
0,411,1.13,0.62
0,413,1.28,0.31
0,415,1.23,0.44
0,417,1.06,0.69
0,419,1.03,0.50
0,420,1.33,0.31
0,421,1.21,0.44
0,423,1.15,0.44
0,425,1.24,0.56
0,427,1.11,0.56
0,428,1.05,0.50
0,430,1.19,0.31
0,431,1.34,0.25
0,433,1.29,0.38
0,434,1.17,0.56
0,436,1.11,0.50
0,438,1.34,0.38
0,439,1.40,0.38
0,440,1.23,0.50
0,442,1.13,0.50
0,444,1.13,0.44
0,446,1.36,0.31
0,448,1.06,0.56
0,449,1.19,0.44
0,451,1.16,0.50
0,453,1.18,0.56
0,455,1.35,0.50
0,457,1.19,0.56
0,459,1.21,0.44
0,460,1.27,0.38
0,462,1.27,0.38
0,464,1.02,0.69
0,466,1.19,0.50
0,468,1.24,0.38
0,469,1.12,0.69
0,471,1.23,0.56
0,473,1.27,0.38
0,475,1.35,0.38
0,477,1.27,0.44
0,479,1.21,0.62
0,481,1.34,0.38
0,483,1.07,0.44
0,484,1.03,0.75
0,486,1.04,0.69
0,488,1.13,0.44
0,489,1.10,0.62
0,490,1.17,0.50
0,492,1.08,0.62
0,493,1.10,0.56
0,494,1.17,0.44
0,495,1.45,0.19
0,497,1.16,0.38
0,499,1.19,0.38
TEST: 0,500,1.14,0.53
checkpoint: models/epoch-0.h5
1,0,1.41,0.44
TEST: 1,0,0.96,1.00
1,2,1.39,0.25
1,4,1.02,0.69
1,6,1.20,0.50
1,8,1.20,0.50
1,10,1.23,0.56
1,12,1.16,0.56
1,13,1.37,0.25
1,15,1.33,0.19
1,17,1.36,0.50
1,18,1.21,0.31
1,20,1.18,0.50
1,22,1.19,0.50
1,24,1.26,0.31
1,26,0.99,0.75
1,28,1.07,0.69
1,30,1.15,0.56
1,31,1.22,0.56
1,33,1.09,0.62
1,34,1.20,0.56
1,36,1.28,0.50
1,37,1.37,0.31
1,38,1.31,0.38
1,40,1.12,0.56
1,42,1.14,0.44
1,44,1.41,0.25
1,46,1.32,0.62
1,48,1.18,0.50
1,50,1.11,0.50
1,51,1.07,0.69
1,53,1.37,0.31
1,55,1.14,0.56
1,57,1.12,0.38
1,59,1.16,0.44
1,60,1.32,0.56
1,62,1.06,0.62
1,64,1.41,0.25
1,65,1.24,0.38
1,67,1.18,0.50
1,69,1.27,0.44
1,71,1.07,0.56
1,73,1.15,0.50
1,75,1.12,0.54
1,76,1.38,0.25
1,78,1.11,0.62
1,79,1.32,0.25
1,81,0.98,0.62
1,83,1.18,0.50
1,85,1.23,0.38
1,87,1.01,0.69
1,89,1.27,0.50
1,91,1.20,0.50
1,93,1.34,0.38
1,95,1.16,0.50
1,96,1.22,0.31
1,97,1.28,0.50
1,98,1.28,0.31
1,100,1.26,0.50
TEST: 1,100,1.12,0.63
1,101,1.01,0.88
1,103,1.22,0.31
1,105,1.18,0.50
1,106,1.11,0.50
1,108,1.02,0.69
1,110,1.21,0.38
1,112,1.10,0.62
1,114,1.25,0.44
1,116,0.99,0.50
1,118,1.17,0.44
1,119,1.29,0.50
1,121,1.34,0.38
1,123,1.17,0.62
1,125,1.16,0.50
1,127,1.24,0.44
1,129,1.14,0.46
1,131,1.14,0.50
1,133,1.26,0.50
1,135,1.19,0.38
1,136,1.37,0.19
1,138,1.25,0.38
1,140,1.22,0.31
1,142,1.11,0.62
1,144,1.13,0.56
1,146,1.40,0.31
1,148,1.03,0.75
1,150,1.24,0.31
1,152,1.31,0.44
1,154,1.18,0.56
1,156,1.14,0.44
1,158,1.17,0.50
1,159,0.94,0.69
1,161,1.18,0.44
1,163,1.40,0.25
1,165,1.25,0.54
1,167,1.26,0.38
1,169,1.13,0.38
1,171,1.15,0.56
1,172,1.33,0.44
1,174,1.19,0.56
1,176,1.14,0.56
1,178,1.05,0.75
1,180,1.14,0.56
1,182,1.29,0.50
1,184,0.96,0.69
1,185,1.12,0.44
1,187,1.04,0.69
1,189,1.05,0.56
1,191,1.03,0.56
1,193,1.22,0.38
1,195,1.35,0.31
1,197,1.23,0.44
1,199,1.32,0.31
1,200,1.29,0.31
TEST: 1,200,0.83,1.00
1,202,1.18,0.44
1,204,1.21,0.44
1,205,1.08,0.56
1,207,0.90,0.69
1,209,1.14,0.69
1,211,1.04,0.44
1,213,1.31,0.38
1,215,1.20,0.69
1,217,1.36,0.31
1,219,1.02,0.69
1,221,1.26,0.56
1,222,1.13,0.56
1,224,1.09,0.62
1,226,1.33,0.25
1,228,1.05,0.50
1,229,1.15,0.44
1,230,1.10,0.62
1,232,1.18,0.50
1,234,1.19,0.38
1,236,1.15,0.56
1,238,1.03,0.56
1,240,0.99,0.75
1,241,1.19,0.50
1,243,1.06,0.69
1,245,1.06,0.62
1,247,1.19,0.50
1,248,1.26,0.38
1,250,1.13,0.50
1,252,1.32,0.38
1,253,1.16,0.38
1,255,0.97,0.62
1,257,1.20,0.44
1,259,1.06,0.56
1,261,1.09,0.69
1,262,0.97,0.75
1,264,1.13,0.44
1,265,1.04,0.56
1,267,1.17,0.56
1,269,1.05,0.62
1,271,0.93,0.62
1,272,1.04,0.50
1,274,1.23,0.38
1,276,1.00,0.62
1,278,1.10,0.56
1,280,1.06,0.31
1,281,1.15,0.50
1,283,1.25,0.44
1,285,1.36,0.12
1,286,0.86,0.62
1,288,1.05,0.69
1,290,1.18,0.56
1,292,1.10,0.50
1,294,1.16,0.38
1,295,1.01,0.62
1,296,1.17,0.50
1,298,1.09,0.56
1,300,1.23,0.44
TEST: 1,300,1.02,0.64
1,301,1.27,0.38
1,303,1.15,0.50
1,305,1.05,0.62
